alaag,amiddellaag,amiddelhoog,ahoog
20811,20191,17880,12486
22146,26550,26140,23228
27170,27608,24904,18093
11252,15463,16267,16409
4263,4172,4219,4373
1909,1869,1890,1959
840,823,832,862
2663,2606,2635,2732
1997,1954,1976,2049
79,77,78,81
0,0,0,0
456,447,452,468
26,25,26,26
84,82,83,86
222,218,220,228
0,0,0,0
359,351,355,368
529,518,524,543
0,0,0,0
0,0,0,0
30,29,30,31
262,257,260,269
0,0,0,0
251,246,248,257
37,36,37,38
0,0,0,0
276,270,273,283
458,448,453,470
2204,2157,2181,2261
133,130,131,136
629,615,622,645
193,189,191,198
0,0,0,0
169,166,168,174
621,608,615,637
1001,979,990,1026
35,35,35,36
1019,997,1009,1045
114,112,113,117
0,0,0,0
49568,48514,49059,50853
1276,1249,1263,1309
70,69,70,72
245,239,242,251
1166,1141,1154,1196
313,307,310,321
94,92,93,96
36,36,36,37
562,550,556,576
57,56,56,58
519,508,514,533
349,342,346,358
79,78,79,81
996,975,986,1022
505,495,500,518
16,15,16,16
19,19,19,20
517,506,511,530
267,262,265,274
171,168,170,176
97,95,96,100
53,51,52,54
130,127,128,133
52,51,51,53
78,76,77,80
72,71,72,74
60,59,59,61
378,370,374,387
117,115,116,120
112,110,111,115
173,169,171,178
48,47,48,49
750,734,743,770
3498,3423,3462,3589
858,840,849,880
244,239,242,251
1258,1231,1245,1291
1636,1601,1619,1679
1360,1331,1346,1395
8779,8592,8689,9006
4419,4325,4374,4534
6866,6720,6796,7044
1062,1039,1051,1089
447,438,442,459
2639,2583,2612,2707
367,359,363,377
309,302,305,317
309,302,305,317
64,63,64,66
89,87,88,92
411,402,407,422
68,66,67,69
58,57,58,60
528,516,522,541
861,842,852,883
66,65,66,68
82,80,81,84
48,47,47,49
351,344,348,360
59,58,59,61
65,64,65,67
943,923,933,967
57,55,56,58
112,110,111,115
89,87,88,91
118,116,117,122
55,54,54,56
311,304,308,319
172,168,170,176
123,120,122,126
216,211,214,222
1093,1070,1082,1121
52,51,52,54
44,43,44,45
67,65,66,68
314,308,311,322
87,85,86,89
388,380,384,398
107,104,105,109
43,42,43,44
54,53,54,56
150,147,149,154
15,15,15,15
99,97,98,102
171,168,169,176
2089,2044,2067,2143
2039,1996,2018,2092
3490,3416,3454,3580
843,825,834,865
288,282,285,296
796,779,788,816
40,39,39,41
370,362,366,379
386,378,382,396
95,93,94,98
241,235,238,247
68002,66556,67304,69764
2785,2726,2756,2857
3753,3673,3714,3850
12604,12336,12474,12930
17714,17337,17532,18173
36293,35521,35920,37233
23976,23465,23729,24597
16528,16176,16358,16956
36256,45676,46255,43589
922,1709,1970,2269
26134,36757,39331,41028
42196,43965,40534,31362
15804,19729,19754,18114
19035,18984,17231,12959
57109,55747,49569,35029
23617,29050,28552,24977
21604,20815,18244,12291
55617,63733,61158,51330
96826,96889,89001,69652
17288,27557,31279,35944
15339,22175,24355,26731
9723,9729,8937,6994
14263,16345,15685,13164
16061,18576,17528,13868
16695,20388,19968,17337
27998,28016,25735,20140
30280,42452,44157,43057
82393,79219,70062,49010
70378,68881,69655,72201
30430,56684,64484,72205
46245,49268,45161,33789
52462,51968,46483,33262
76556,79334,74058,59929
14942,18418,18262,16371
46046,45780,41388,30745
32348,42322,44298,44812
44766,48978,46648,39114
1805961,1860502,1699526,1281583
544081,532507,538494,558178
1825941,1787098,1807191,1873251
4295899,4204512,4251786,4407204
651400,637543,644711,668278
472092,462049,467244,484324
277701,271794,274850,284896
649796,635973,643123,666632
465499,455596,460719,477560
30324,29679,30013,31110
76053,74435,75272,78024
103277,101080,102216,105953
177305,173533,175484,181899
59332,58069,58722,60869
179175,175363,177335,183817
30020,29382,29712,30798
152898,149646,151328,156860
124364,121719,123087,127587
139079,136120,137650,142682
4815104,4712673,4765660,4939862
2110189,2065299,2088520,2164864
1645,1610,1628,1688
1072,1135,1193,1257
2170,1849,1597,1329
174,194,223,258
0,0,0,0
497,543,558,568
0,0,0,0
469,558,618,681
31,41,60,83
224,250,274,301
181,194,205,216
445,393,378,369
125,112,95,75
73,84,94,106
0,0,0,0
649,816,898,973
23,20,19,17
112,110,109,107
67,64,62,60
0,0,0,0
310,333,335,331
424,414,403,390
280,337,362,383
111,107,101,94
1327,1370,1380,1384
522,628,673,709
0,0,0,0
2358,2542,2697,2865
66,89,120,158
365,399,430,463
777,853,900,947
1051,993,965,939
1407,1294,1206,1112
0,0,0,0
454,557,632,711
1220,1210,1194,1174
703,766,802,837
326,391,470,562
1722,1559,1391,1203
1621,1713,1898,2124
1082,1479,1881,2331
460,519,584,657
505,686,820,961
744,796,842,892
0,0,0,0
358,389,413,437
32,32,32,32
1574,1405,1275,1137
457,482,514,552
1618,1454,1340,1224
379,403,451,509
319,336,339,341
0,0,0,0
677,783,878,982
351,399,450,508
491,407,329,243
279,350,402,457
361,419,477,542
115,111,108,104
136,122,105,86
481,510,532,555
0,0,0,0
146,122,99,73
13,11,10,9
373,432,488,552
351,383,413,445
395,419,446,477
66,69,81,98
0,0,0,0
5,5,4,3
0,0,0,0
563,622,651,676
143,134,126,117
872,873,844,806
395,339,285,223
2,2,2,1
69,63,56,47
210,207,202,197
0,0,0,0
310,262,229,195
82,90,98,107
238,223,218,213
499,519,522,522
642,769,855,943
523,539,540,538
304,309,325,346
142,128,121,115
15,16,18,20
116,146,165,183
305,378,435,495
17,15,12,10
274,227,193,158
733,611,515,414
1695,1503,1359,1209
398,441,487,539
0,0,0,0
548,588,591,587
1490,1313,1137,940
212,253,311,380
237,217,201,185
170,161,151,141
357,386,398,408
148,158,181,208
53,45,38,30
130,124,119,114
139,117,99,79
238,245,246,245
126,122,114,105
87,74,62,50
142,139,135,131
338,336,330,321
530,498,473,447
595,507,440,370
49,47,47,47
22,21,19,17
89,88,87,86
80,73,66,59
51,57,63,69
84,89,97,106
165,152,138,121
516,586,626,663
76,82,92,103
408,359,304,242
132,121,111,100
25,25,26,27
76,63,51,38
51,49,48,48
59,52,43,32
3067,2597,2232,1846
0,0,0,0
289,286,283,279
0,0,0,0
0,0,0,0
420,397,370,339
410,348,301,252
28,28,26,25
231,221,208,193
39,36,32,27
83,90,101,113
832,877,867,844
163,166,166,167
149,193,218,241
1136,1118,1118,1122
0,0,0,0
920,783,667,541
1141,1303,1451,1613
75,85,96,108
629,534,461,383
367,359,346,329
772,653,556,452
286,285,276,265
96,116,145,179
62,70,82,96
111,102,97,93
55,49,41,31
492,418,352,280
184,174,161,146
1224,1257,1242,1215
466,485,513,546
96,100,105,112
240,227,201,169
565,582,624,677
0,0,0,0
2738,2494,2258,1996
0,0,0,0
637,591,545,494
124,148,175,207
711,638,561,475
328,404,454,506
127,147,168,192
142,162,180,201
126,175,234,302
319,394,443,492
43,39,38,36
17,16,14,13
402,408,418,430
429,579,652,718
138,126,114,101
30,26,21,15
256,267,272,276
135,131,123,114
184,166,153,139
90,76,65,53
518,493,453,406
0,0,0,0
0,0,0,0
163,161,156,151
0,0,0,0
145,124,108,91
814,769,724,673
115,105,95,84
0,0,0,0
82,79,78,78
57,46,37,27
124,105,88,70
400,409,398,383
334,286,242,194
185,195,210,226
26,23,20,17
41,43,45,47
76,91,106,121
41,37,33,29
0,0,0,0
237,207,182,156
264,258,245,229
0,0,0,0
97,94,90,85
218,190,163,133
653,734,806,884
358,303,261,216
0,0,0,0
393,413,411,405
0,0,0,0
75,69,64,58
94,92,91,90
269,251,239,226
193,195,191,185
300,280,255,227
374,315,263,207
0,0,0,0
0,0,0,0
658,667,650,625
33,34,37,40
204,168,135,98
241,210,180,147
204,173,143,108
205,190,176,161
293,316,322,326
144,126,109,90
112,106,106,109
189,170,140,105
385,403,405,405
328,300,264,222
202,177,158,138
41,39,38,36
24,23,22,21
53,47,43,39
14,13,14,15
15,13,11,9
73,68,66,64
83,69,56,43
25,26,27,29
88,69,52,34
0,0,0,0
0,0,0,0
346,331,309,283
0,0,0,0
372,348,327,304
6,7,7,8
0,0,0,0
2,3,3,4
0,0,0,0
602,569,526,475
106,96,87,78
14,13,11,9
173,204,231,259
213,237,259,282
132,151,181,217
666,737,765,788
377,315,269,220
166,140,117,91
738,628,540,446
138,139,139,139
0,0,0,0
1666,1600,1525,1439
31,27,23,18
244,336,399,463
0,0,0,0
139,146,157,170
165,148,134,120
78,76,70,62
616,598,562,518
645,563,498,428
12,16,20,24
87,81,76,71
515,463,404,337
9,8,8,8
957,1087,1184,1285
13,17,22,28
64,79,97,117
16,20,23,28
240,240,239,238
129,130,131,132
0,0,0,0
739,771,778,780
0,0,0,0
0,0,0,0
97,88,80,71
263,234,204,170
142,122,101,78
253,236,223,210
147,129,111,91
428,383,333,276
699,732,733,727
627,771,894,1027
68,61,50,37
139,122,105,85
58,60,62,64
182,199,209,217
202,204,200,193
95,87,79,70
61,61,59,55
81,87,95,106
557,598,609,616
105,108,111,114
1307,1182,1070,948
211,228,230,229
225,270,312,359
34,38,42,46
0,0,0,0
19,16,13,9
0,0,0,0
511,501,486,468
86,75,63,51
41,35,30,25
67,59,49,37
534,582,601,615
49,48,48,49
144,166,214,273
1,1,1,1
489,448,418,386
282,294,301,308
277,298,304,309
1940,1625,1384,1129
1279,1552,1788,2045
6,6,5,5
112,136,162,192
488,492,473,447
225,261,293,328
1078,1394,1568,1732
648,726,799,879
1748,1772,1972,2233
521,699,777,843
167,195,226,262
821,710,615,512
266,277,287,297
262,282,309,340
213,272,317,365
708,972,1483,2108
2498,2745,2890,3031
707,911,1127,1372
873,957,999,1036
1508,1893,2145,2399
520,533,520,500
289,325,350,375
137,165,213,271
296,334,377,425
74,77,81,85
276,246,224,202
191,221,259,302
208,225,241,258
3130,2640,2228,1784
0,0,0,0
196,185,165,140
73,64,53,41
568,474,402,327
2885,2447,2102,1737
173,178,183,189
0,0,0,0
174,198,222,249
297,281,264,244
24,22,20,18
78,67,58,49
18,22,25,30
384,363,355,347
1039,1017,968,908
97,83,69,52
1169,1269,1288,1291
398,378,365,351
228,276,330,391
283,314,353,398
864,784,702,611
16,14,12,10
4342,3776,3242,2652
106,137,184,241
469,458,441,420
0,0,0,0
0,0,0,0
345,327,303,274
0,0,0,0
51,48,44,41
5,4,4,4
414,382,355,325
52,56,63,71
0,0,0,0
1704,1539,1393,1233
298,307,326,350
250,240,231,221
204,196,188,178
300,285,267,247
175,174,180,189
518,457,412,366
78,77,77,77
253,271,280,288
86,75,66,57
283,321,341,361
23,22,24,26
15,14,13,12
522,462,401,332
49,43,38,31
675,719,741,760
0,0,0,0
650,621,572,514
0,0,0,0
147,128,112,94
581,621,648,675
118,104,91,76
131,123,121,120
164,149,136,121
838,838,811,773
153,135,121,107
165,163,161,159
179,154,137,120
211,200,184,166
102,88,77,65
35,32,31,29
295,286,269,248
19,18,17,15
55,52,51,50
155,182,205,229
241,304,383,475
720,782,785,776
1530,1286,1115,939
420,443,443,438
155,151,146,140
32,29,27,24
710,804,869,935
1943,1697,1511,1316
160,188,230,280
0,0,0,0
65,63,61,59
259,271,284,298
43,46,51,57
34,30,27,23
0,0,0,0
235,305,355,408
52,53,54,56
310,290,273,254
54,63,82,106
1120,979,856,723
63,69,77,87
488,523,523,515
243,245,246,245
508,424,361,296
39,40,42,45
41,40,39,38
120,108,98,86
21,20,19,19
441,378,329,277
593,673,730,790
248,258,254,245
64,62,62,61
0,0,0,0
67,61,56,50
240,266,271,272
50,46,41,34
100,90,80,70
113,104,97,90
307,345,361,374
351,333,313,290
145,128,116,103
134,132,131,130
0,0,0,0
113,129,135,140
161,162,151,136
241,250,253,255
820,736,679,621
189,201,219,240
364,325,276,220
331,305,285,263
530,558,567,573
0,0,0,0
770,682,612,537
0,0,0,0
181,165,149,131
182,182,181,179
0,0,0,0
51,48,45,42
45,38,34,29
211,199,193,188
245,263,267,269
654,595,536,469
135,148,158,169
288,257,228,194
109,93,79,65
0,0,0,0
285,296,292,284
172,144,120,95
148,133,120,105
0,0,0,0
13,11,9,7
504,451,400,344
410,384,353,316
144,154,153,149
634,631,619,602
158,143,130,116
125,117,112,107
82,81,77,73
85,74,64,52
1309,1416,1439,1448
187,213,262,323
306,383,453,531
627,549,500,452
152,171,196,225
504,535,558,582
162,159,161,166
340,362,374,385
176,181,188,196
1979,1673,1411,1127
401,450,476,500
3145,2662,2323,1975
359,346,325,300
143,149,163,180
85,93,97,100
38,35,34,32
44,39,36,32
38,37,37,37
85,81,79,77
4,3,3,3
358,341,322,300
224,222,206,186
117,102,89,75
22,19,15,12
61,58,55,52
211,199,187,174
94,86,81,75
181,164,142,117
294,308,325,346
88,90,94,99
86,73,60,45
493,534,554,572
551,489,432,369
163,169,167,163
93,112,122,132
468,415,359,296
0,0,0,0
318,278,243,204
3698,4126,4469,4835
564,676,771,873
497,561,603,645
2614,2240,1978,1708
307,362,397,433
3,2,2,1
1054,1249,1397,1553
298,345,401,466
459,468,465,459
0,0,0,0
93,109,128,151
33,40,44,48
4,3,3,2
1982,1907,1840,1768
453,480,480,474
2567,3315,4071,4919
190,199,210,223
151,170,183,196
498,431,384,335
497,569,661,768
1813,1924,2025,2136
407,463,503,544
171,176,178,181
694,631,579,523
519,509,495,479
36,35,36,37
288,276,267,256
294,330,367,409
624,630,620,606
481,532,598,674
141,147,154,161
272,370,475,594
642,699,766,843
507,527,549,576
171,198,235,278
97,96,89,82
69,85,103,123
517,449,377,296
82,68,58,47
333,309,287,264
0,0,0,0
219,230,233,235
45,40,37,33
75,83,111,147
288,292,286,277
36,33,30,26
543,523,500,473
88,86,83,79
72,64,55,44
158,141,124,105
172,167,165,163
449,516,553,590
157,155,161,169
144,156,174,194
0,0,0,0
0,0,0,0
257,251,244,236
44,41,39,37
0,0,0,0
86,86,88,91
38,35,31,28
151,167,183,200
127,116,106,96
0,0,0,0
164,143,124,102
331,344,355,368
493,509,499,482
204,175,149,120
213,192,176,158
1001,1015,963,892
475,576,631,683
279,312,377,456
205,239,269,302
2219,1981,1806,1623
98,88,77,63
295,276,257,237
303,309,338,375
427,554,607,651
137,140,135,129
0,0,0,0
175,243,289,337
467,404,341,270
273,234,204,173
721,803,823,834
671,647,591,523
1498,1365,1205,1021
210,177,145,111
221,239,247,254
160,162,165,169
44,50,56,62
872,777,673,555
160,141,121,99
3841,3302,2831,2318
88,86,82,78
285,354,449,561
73,68,63,57
160,138,118,97
572,513,464,411
508,557,574,587
113,122,129,135
859,947,981,1008
428,436,427,414
53,51,50,49
165,205,282,377
181,194,208,225
25,30,34,39
390,521,630,748
7,6,5,4
142,136,129,121
0,0,0,0
484,471,453,432
982,955,918,875
0,0,0,0
136,124,113,102
199,173,151,128
426,360,300,235
194,185,177,168
424,387,336,276
26,24,23,21
112,94,77,59
375,322,280,234
930,882,827,765
263,236,210,181
202,182,161,136
94,100,103,105
809,752,683,602
534,565,563,554
323,346,381,422
1785,1587,1448,1306
80,75,70,65
194,227,264,307
82,73,61,48
299,259,237,218
1136,1006,898,781
242,217,192,164
62,57,53,50
408,492,519,537
828,825,833,844
0,0,0,0
953,824,722,613
56,54,53,52
31,29,27,24
655,654,634,607
409,362,316,266
167,155,140,123
243,208,186,165
