Inw_Laag,Inw_Middellaag,Inw_Middelhoog,Inw_Hoog
109,94,178,202
84,72,183,174
3827,3280,6744,5901
2611,2238,4911,3253
7706,6605,8604,6510
0,0,0,0
0,0,0,0
0,0,0,0
5661,4852,12171,9322
26347,22583,23858,12719
18653,15988,39439,32128
47422,40648,48245,17279
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37012,31724,42994,27281
17094,14652,24841,61301
2582,2213,3744,7534
31214,26755,46972,74062
47422,40647,50084,81138
23632,20256,27401,54330
15596,13368,20651,34124
28969,24831,62997,128446
31752,27216,39992,42159
14602,12516,17603,5740
71595,71595,71595,71595
56247,48212,85667,97399
54667,19524,10573,2397
27150,23271,28305,53309
7677,6580,11620,27069
24694,21166,32327,14342
20568,17630,26445,29383
11884,10186,45223,47248
35241,30207,44823,19651
48091,41221,72410,65256
77147,66126,103920,75935
61391,52620,123274,130599
50939,43662,85272,61973
47801,40972,87381,59898
26607,22806,70443,79075
64789,55533,114132,89489
14992,12850,28057,29770
37492,32136,57969,38113
23102,19802,40878,69595
44802,38402,80931,59178
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1898,1628,1266,800
9,35,51,29
720,626,570,494
44,31,39,77
654,867,916,704
0,0,0,0
1204,1088,776,380
16,64,92,52
756,852,1084,1508
1104,922,599,244
44,31,39,77
13,9,12,23
777,625,456,265
7,5,6,12
1053,916,630,290
31,36,44,50
444,483,429,283
13,35,48,32
295,377,344,205
247,337,434,514
230,253,363,766
350,405,568,1026
294,296,272,207
803,621,533,460
1048,610,325,76
236,131,86,55
1272,736,484,296
521,420,486,748
2620,2087,1402,662
1155,1088,1079,1023
2092,1287,753,282
370,183,269,1366
3,5,7,5
562,436,452,572
84,16,11,19
1195,909,576,238
850,686,583,474
1,2,2,1
2221,1632,1214,809
312,298,368,562
938,578,666,1329
454,366,423,651
711,1355,1648,1210
